id,subject,group_id,assigneeName,status,priority,created_at,updated_at,channel,organization_id,Product,Alert Severity,Product Platform,Product Category,Customer First Response (UTC)
5426,Integrate Goanywhere,SRC - L1,,open,normal,"Dec 25, 2023, 07:25 AM","Dec 25, 2023, 11:01 AM",web,Bosch,Microsoft__src,medium,Microsoftplatform,Microsoft,
5424,Bosch - Integrate Palo alto access logs,SRC - L1,Avi Golovaty,open,high,"Dec 25, 2023, 06:46 AM","Dec 25, 2023, 10:58 AM",web,Bosch,Microsoft__src,medium,Microsoftplatform,Microsoft,
5422,Bosch - CrowdStrike - Low and Informational severity alert,SRC - L1,Gil Kamalakannan,solved,low,"Dec 25, 2023, 02:11 AM","Dec 25, 2023, 02:25 AM",web,Bosch,endpoint_security__edr___crowdstrike,low,end_point_operating_system,endpointsecurityedr,
5421,Bosch - Okta - Attempts to access unauthorised application(s),SRC - L1,Gil Kamalakannan,solved,high,"Dec 24, 2023, 10:26 PM","Dec 25, 2023, 01:20 AM",web,Bosch,identity_and_access_management__okta,medium,on-prem,identity_and_access_management,
5420,AAA - GCP Security Command Center - Critical Severity Finding,SRC - L1,Ben Chauhan,solved,normal,"Dec 24, 2023, 07:45 AM","Dec 26, 2023, 12:29 AM",web,AAA,gcp__gcp_-_security_command_center,high,gcp,cloud_provider_/_service,
5419,Bosch - CrowdStrike - Medium severity alert,SRC - L1,Ben Chauhan,pending,normal,"Dec 24, 2023, 04:36 AM","Dec 24, 2023, 07:54 AM",web,Bosch,endpoint_security__edr___crowdstrike,medium,on-prem,endpointsecurityedr,
5418,Crowdstrike - Missing Alerts - CS Incident,Research,,new,normal,"Dec 24, 2023, 01:33 AM","Dec 24, 2023, 01:34 AM",web,Microsoft SRC,,,,,
5417,Volvo - Amazon ECR Audit - ECR Image Has Been Pulled,SRC - L1,Anna bansal,pending,high,"Dec 24, 2023, 01:18 AM","Dec 24, 2023, 01:18 AM",web,Volvo,cloud_provider_/_service__aws_cloudtrail,high,aws_platform,cloud_provider_/_service,
5416,Bosch - Okta - MFA disable/suspend attempts on user accounts,SRC - L1,Gil Kamalakannan,solved,high,"Dec 23, 2023, 11:27 PM","Dec 25, 2023, 02:06 AM",web,Bosch,identity_and_access_management__okta,medium,on-prem,identity_and_access_management,
5415,Honda - Okta - Impossible Travel Anomaly,SRC - L1,Gil Kamalakannan,pending,normal,"Dec 23, 2023, 08:41 PM","Dec 23, 2023, 08:42 PM",web,Honda,identity_and_access_management__okta,medium,on-prem,identity_and_access_management,
5414,FOX - UpGuard - Domain Vulnerabilities Detected,SRC - L1,Zack Kumar,solved,normal,"Dec 23, 2023, 10:48 AM","Dec 23, 2023, 06:57 PM",web,FOX,vulnerability_management__upguard,high,on-prem,vulnerability_management,
5413,Bosch - Okta - Attempts to access unauthorised application,SRC - L1,Nir Handa,solved,high,"Dec 23, 2023, 09:07 AM","Dec 26, 2023, 12:53 AM",web,Bosch,identity_and_access_management__okta,medium,on-prem,identity_and_access_management,
5412,AAA - GCP Security Command Center - High Severity Finding,SRC - L1,Ben Chauhan,solved,high,"Dec 22, 2023, 09:56 PM","Dec 26, 2023, 12:22 AM",web,AAA,cloud_provider_/_service__gcp_-_security_command_center,high,gcp,cloud_provider_/_service,
5411,FOX - Azure Key Vault - Keys List Operation Attempted,SRC - L1,Ben Chauhan,closed,normal,"Dec 22, 2023, 08:52 PM","Dec 25, 2023, 09:01 PM",web,FOX,generic_/_other__temp,medium,azure,cloud_provider_/_service,
5410,FOX - Linux - Privilege Escalated,SRC - L1,Gil Kamalakannan,closed,normal,"Dec 22, 2023, 08:47 PM","Dec 25, 2023, 09:01 PM",web,FOX,endpoint_security__edr___linux,medium,on-prem,endpointsecurityedr,
5409,Honda - Okta - MFA disable/suspend attempts on user accounts,SRC - L1,Omer Lakhmani,pending,normal,"Dec 22, 2023, 10:52 AM","Dec 22, 2023, 12:12 PM",web,Honda,identity_and_access_management__okta,medium,on-prem,identity_and_access_management,
5408,Honda - Okta - Multiple Login Failure From a Source,SRC - L1,Omer Lakhmani,pending,normal,"Dec 22, 2023, 10:18 AM","Dec 22, 2023, 12:13 PM",web,Honda,identity_and_access_management__okta,medium,on-prem,identity_and_access_management,
5407,Update Extension - - Amazon EBS,DevOps,,new,normal,"Dec 22, 2023, 05:55 AM","Dec 22, 2023, 05:55 AM",web,Microsoft Research,,,,,
5406,Bosch - CrowdStrike - Low and Informational severity alert,SRC - L1,Shir Mehra,pending,normal,"Dec 22, 2023, 03:53 AM","Dec 22, 2023, 04:00 AM",web,Bosch,endpoint_security__edr___crowdstrike,low,end_point_operating_system,endpointsecurityedr,
5405,NISSAN - GuardDuty - Medium Severity Event,SRC - L1,Ella Gahlot,pending,high,"Dec 22, 2023, 02:45 AM","Dec 26, 2023, 12:00 AM",web,NISSAN,cloud_provider_/_service__aws_guardduty,medium,aws_platform,cloud_provider_/_service,2023-12-26T07:36:52Z
5404,Test Description to couple of IAM test for GCP CSPM,Research,,new,high,"Dec 22, 2023, 02:08 AM","Dec 22, 2023, 02:08 AM",web,Microsoft DevOps,,,,,
5402,Bosch - CrowdStrike - High severity alert,SRC - L1,Ben Chauhan,pending,high,"Dec 21, 2023, 08:34 PM","Dec 21, 2023, 10:01 PM",web,Bosch,endpoint_security__edr___crowdstrike,high,on-prem,endpointsecurityedr,
5401,Subaru - Torrent Traffic (Firewall),SRC - L1,Nir Handa,pending,normal,"Dec 21, 2023, 08:22 PM","Dec 25, 2023, 01:02 AM",web,Subaru,firewalls_and_security_groups__fortigate,medium,on-prem,firewallsandsecuritygroups,
5400,FOX - UpGuard - Typosquat Registration Changed,SRC - L1,Zack Kumar,closed,high,"Dec 21, 2023, 04:30 PM","Dec 24, 2023, 06:01 PM",web,FOX,vulnerability_management__upguard,high,end_point_operating_system,vulnerability_management,
5399,Re: Fwd: Castro - Prod WAF Logs Query,DevOps,Nir Limor,solved,normal,"Dec 21, 2023, 11:10 AM","Dec 25, 2023, 12:01 AM",web,Microsoft SRC,,,,,
5398,Castro - Meeting (21/12/2023),SRC - L1,Anna bansal,closed,high,"Dec 21, 2023, 11:04 AM","Dec 25, 2023, 07:01 PM",web,Castro,generic_/_other__temp,,Microsoftplatform,generic_/_other,2023-12-22T17:15:05Z
5397,Toyota - Infoblox DNS - Excessive SERVFAIL Response Code Returned,SRC - L1,Omer Lakhmani,pending,high,"Dec 21, 2023, 04:05 AM","Dec 21, 2023, 05:43 PM",web,Toyota,generic_/_other__temp,high,on-prem,dns_services,
5396,Bosch: AWS Route53 Audit - Edit / Deletion / Creation of DNS Records,SRC - L1,Shir Mehra,closed,high,"Dec 21, 2023, 03:30 AM","Dec 24, 2023, 11:01 PM",web,Bosch,dns_services__amazon_route53,high,aws_platform,dns_services,
5395,FOX : JumpCloud - An Admin logged-in successfully without MFA,SRC - L1,Shir Mehra,closed,high,"Dec 21, 2023, 02:54 AM","Dec 24, 2023, 05:02 AM",web,FOX,identity_and_access_management__jumpcloud,high,on-prem,identity_and_access_management,
5394,Suzuki - GCP WAF - A Firewall Rule was Deleted,SRC - L1,Gil Kamalakannan,closed,normal,"Dec 21, 2023, 12:52 AM","Dec 24, 2023, 03:01 AM",web,Suzuki,generic_/_other__temp,medium,gcp,cloud_provider_/_service,
5393,AWS Lambda - Custom dashboard,DevOps,,new,normal,"Dec 21, 2023, 12:30 AM","Dec 21, 2023, 12:30 AM",web,Apple Data Analyst,,,,,
5392,O365 - Custom Dashboard ,DevOps,,new,normal,"Dec 21, 2023, 12:29 AM","Dec 21, 2023, 12:29 AM",web,Apple Data Analyst,,,,,
5391,FOX - Linux - Critical Bash Commands Used,SRC - L1,Shir Mehra,closed,high,"Dec 21, 2023, 12:15 AM","Dec 24, 2023, 01:02 AM",web,FOX,endpoint_security__edr___linux,high,on-prem,endpointsecurityedr,
5390,Infinity: AWS CloudTrail - SCP has been modified,SRC - L1,Shir Mehra,closed,high,"Dec 20, 2023, 11:58 PM","Dec 24, 2023, 01:02 AM",web,Infinity,cloud_provider_/_service__aws_cloudtrail,high,aws_platform,cloud_provider_/_service,2023-12-21T08:45:19Z
5389,Infinity - Amazon S3 - Bucket Lifecycle policy has been created/modified (Prod) (High),SRC - L1,Ben Chauhan,closed,normal,"Dec 20, 2023, 11:36 PM","Dec 24, 2023, 12:02 AM",web,Infinity,cloud_provider_/_service__amazon_s3,medium,aws_platform,cloud_provider_/_service,2023-12-21T07:54:47Z
5388,Update Extension - - AWS Lambda,DevOps,,new,normal,"Dec 20, 2023, 11:32 PM","Dec 20, 2023, 11:32 PM",web,Microsoft Research,,,,,
5387,FOX - Azure Storage accounts - A storage account was deleted,SRC - L1,Ben Chauhan,closed,normal,"Dec 20, 2023, 10:46 PM","Dec 23, 2023, 11:01 PM",web,FOX,cloud_provider_/_service__azure_storage_accounts,medium,azure,generic_/_other,
5386,AAA: Upload of a PEM certificate to Google Drive detected,SRC - L1,Shir Mehra,closed,high,"Dec 20, 2023, 10:42 PM","Dec 24, 2023, 01:02 AM",web,,productivity__google_workspace__gsuite_,high,google_workspace,productivity,
5385,Bosch - Okta - Multiple Login Failure From a Source,SRC - L1,Gil Kamalakannan,closed,normal,"Dec 20, 2023, 07:26 PM","Dec 23, 2023, 08:01 PM",web,Bosch,identity_and_access_management__okta,medium,on-prem,identity_and_access_management,
5384,Bosch - Okta - Policy Change Occurred,SRC - L1,Nir Handa,pending,normal,"Dec 20, 2023, 02:59 PM","Dec 24, 2023, 01:50 PM",web,Bosch,identity_and_access_management__okta,medium,on-prem,identity_and_access_management,
5383,Bosch - Okta - Attempts to access unauthorised application,SRC - L1,Nir Handa,open,high,"Dec 20, 2023, 02:32 PM","Dec 26, 2023, 12:57 AM",web,Bosch,identity_and_access_management__okta,medium,on-prem,identity_and_access_management,
5382,FOX - Linux - Potentially Suspicious Command Used,SRC - L1,Ella Gahlot,closed,high,"Dec 20, 2023, 08:14 AM","Dec 23, 2023, 09:02 AM",web,FOX,endpoint_security__edr___linux,high,on-prem,endpointsecurityedr,
5381,Infinity - Cloudtrail config changes,SRC - L1,Shir Mehra,closed,normal,"Dec 20, 2023, 04:41 AM","Dec 24, 2023, 12:02 AM",web,Infinity,cloud_provider_/_service__aws_cloudtrail,high,aws_platform,cloud_provider_/_service,2023-12-21T07:54:00Z
5380,Mazda - GCP Cloud SQL - SQL instance was modified,SRC - L1,Shir Mehra,closed,high,"Dec 20, 2023, 03:45 AM","Dec 23, 2023, 10:01 AM",web,Mazda,cloud_provider_/_service__gcp_-_sql,high,gcp,cloud_provider_/_service,
5379,Bosch - CrowdStrike - Medium severity alert,SRC - L1,Ella Gahlot,closed,high,"Dec 20, 2023, 03:13 AM","Dec 24, 2023, 12:02 AM",web,Bosch,endpoint_security__edr___crowdstrike,medium,on-prem,endpointsecurityedr,
5378,Okta - New Alert Suggestion,Research,,open,normal,"Dec 20, 2023, 01:54 AM","Dec 20, 2023, 07:32 PM",web,Microsoft SRC,,,,,
5377,Subaru - Keycloack - User Not Found In External Repository,SRC - L1,Omer Lakhmani,closed,normal,"Dec 19, 2023, 10:05 PM","Dec 23, 2023, 08:01 PM",web,Subaru,generic_/_other__temp,low,on-prem,identity_and_access_management,
5376,Ford - Orca - High Risk Alert,SRC - L1,Shir Mehra,closed,normal,"Dec 19, 2023, 09:35 PM","Dec 23, 2023, 01:02 AM",web,Ford,generic_/_other__temp,high,on-prem,vulnerability_management,2023-12-20T08:59:45Z
5375,Bosch - CrowdStrike - High severity alert,SRC - L1,Anna bansal,pending,high,"Dec 19, 2023, 01:44 PM","Dec 23, 2023, 03:27 AM",web,Bosch,endpoint_security__edr___crowdstrike,high,on-prem,endpointsecurityedr,
5374,Volvo - Google Workspace - (Password Spray) Login Failures For Different Users From Single IP,SRC - L1,Avi Golovaty,pending,high,"Dec 19, 2023, 08:43 AM","Dec 21, 2023, 06:21 AM",web,Volvo,productivity__google_workspace__gsuite_,medium,google_workspace,productivity,
5373,Bosch : Okta - Attempts to access unauthorised application,SRC - L1,Danna Sival,solved,high,"Dec 19, 2023, 05:49 AM","Dec 24, 2023, 09:01 AM",web,Bosch,identity_and_access_management__okta,medium,aws_platform,identity_and_access_management,
5372,FOX - Azure VM - More than 10 disks were deleted in 20 minutes,SRC - L1,Shir Mehra,closed,high,"Dec 19, 2023, 03:58 AM","Dec 22, 2023, 05:02 AM",web,FOX,cloud_provider_/_service__azure_virtual_machines,high,azure,cloud_provider_/_service,
5371,Bosch - Crowdstrike - Policy Update - Custom,SRC - L1,Omer Lakhmani,solved,high,"Dec 19, 2023, 01:59 AM","Dec 25, 2023, 09:43 PM",web,Bosch,endpoint_security__edr___crowdstrike,critical,on-prem,endpointsecurityedr,
5370,FOX - Azure Network Security Groups - A Security Group rule was deleted,SRC - L1,Nir Handa,closed,normal,"Dec 18, 2023, 11:25 PM","Dec 22, 2023, 12:02 AM",web,FOX,firewalls_and_security_groups__azure_network_security_groups,medium,azure,cloud_provider_/_service,
5369,Honda: Okta - Successful user login from an unfamiliar country,SRC - L1,Shir Mehra,pending,normal,"Dec 18, 2023, 11:22 PM","Dec 23, 2023, 03:02 AM",web,Honda,identity_and_access_management__okta,low,,identity_and_access_management,2023-12-19T07:42:57Z
5368,Volvo - Google Workspace - 10 or more files were deleted in the last 5 minutes by the same user,SRC - L1,Shir Mehra,pending,normal,"Dec 18, 2023, 09:44 PM","Dec 20, 2023, 09:27 PM",web,Volvo,productivity__google_workspace__gsuite_,low,google_workspace,productivity,
5367,Bosch - Okta - Attempts to access unauthorised application,SRC - L1,Nir Handa,closed,normal,"Dec 18, 2023, 09:15 PM","Dec 22, 2023, 06:03 AM",web,Bosch,identity_and_access_management__okta,medium,on-prem,identity_and_access_management,
5366,Suzuki - GCP WAF - Invalid HTTP Request (5XX Response Code),SRC - L1,Gil Kamalakannan,closed,high,"Dec 18, 2023, 11:29 AM","Dec 23, 2023, 12:01 AM",web,Suzuki,generic_/_other__temp,high,gcp,cloud_provider_/_service,
5365,Volvo - Amazon ECR Audit - Repository Created,SRC - L1,Gil Kamalakannan,pending,normal,"Dec 18, 2023, 11:14 AM","Dec 20, 2023, 09:27 PM",web,Volvo,cloud_provider_/_service__aws_elb,medium,aws_platform,cloud_provider_/_service,
5364,Bosch - AWS CloudTrail - Root Account Activity Detected,SRC - L1,Omer Lakhmani,pending,high,"Dec 18, 2023, 09:18 AM","Dec 24, 2023, 11:26 AM",web,Bosch,cloud_provider_/_service__aws_cloudtrail,high,aws_platform,cloud_provider_/_service,
5363,FOX - Linux - Critical Bash Commands Used,SRC - L1,Omer Lakhmani,closed,normal,"Dec 18, 2023, 06:05 AM","Dec 21, 2023, 08:03 AM",web,FOX,endpoint_security__edr___linux,high,on-prem,endpointsecurityedr,
5362,Re: John - test alert111,Orchestrator,Apple SRC - Orchestrator,open,high,"Dec 18, 2023, 05:22 AM","Dec 18, 2023, 08:03 AM",web,Avi-test,firewalls_and_security_groups__azure_firewall,critical,Microsoftplatform,firewallsandsecuritygroups,
5361,Custom flow alert request- Jumpcloud- A user was added and removed from a user after 24 hours,SRC - L1,Avi Singh,closed,normal,"Dec 18, 2023, 04:42 AM","Dec 21, 2023, 05:02 AM",web,FOX,Microsoft__src,,Microsoftplatform,Microsoft,
5360,Jupiter Money - Minutes of the Meeting (14/12/2023),SRC - L1,Omer Lakhmani,pending,,"Dec 18, 2023, 04:05 AM","Dec 18, 2023, 04:05 AM",web,Jupiter-Money,Microsoft__src,,Microsoftplatform,Microsoft,
5359,FOX - CrowdStrike - High severity alert,SRC - L1,Omer Lakhmani,closed,normal,"Dec 18, 2023, 03:10 AM","Dec 21, 2023, 04:02 AM",web,FOX,endpoint_security__edr___crowdstrike,high,on-prem,endpointsecurityedr,
5358,Tango - Amazon ECS - Task is run or started,SRC - L1,Anna bansal,closed,high,"Dec 18, 2023, 02:15 AM","Dec 25, 2023, 07:01 PM",web,Castro,cloud_provider_/_service__amazon_ecs,high,aws_platform,cloud_provider_/_service,2023-12-19T17:08:59Z
5357,AAA - Sync Call 18-Dec 2023 ,SRC - L1,Nir Handa,closed,,"Dec 18, 2023, 01:09 AM","Dec 21, 2023, 02:03 AM",web,AAA,Microsoft__src,,Microsoftplatform,generic_/_other,
5356,Ford <> Apple SRC - Fortnightly meeting ,SRC - L1,Nir Handa,pending,,"Dec 17, 2023, 11:58 PM","Dec 21, 2023, 10:17 PM",web,Ford,,,,,
5355,Volvo: Google Workspace - (Password Spray) Login Failures For Different Users From Single IP,SRC - L1,Shir Mehra,pending,normal,"Dec 17, 2023, 11:04 PM","Dec 23, 2023, 02:58 AM",web,Volvo,productivity__google_workspace__gsuite_,medium,google_workspace,productivity,
5354,JungleeGames - AWS CloudTrail - ECR Image has been pushed,SRC - L1,Anna bansal,pending,high,"Dec 17, 2023, 10:41 PM","Dec 24, 2023, 11:21 AM",web,Jeep,cloud_provider_/_service__aws_cloudtrail,high,aws_platform,cloud_provider_/_service,
5353,NISSAN - AWS CloudTrail - ECR Image has been pushed,SRC - L1,Anna bansal,solved,high,"Dec 17, 2023, 10:16 PM","Dec 25, 2023, 04:02 AM",web,NISSAN,cloud_provider_/_service__aws_cloudtrail,high,aws_platform,cloud_provider_/_service,2023-12-19T13:58:15Z
5352,FOX - Linux - Software Installed via Package Manager,SRC - L1,Ella Gahlot,closed,normal,"Dec 17, 2023, 09:38 PM","Dec 20, 2023, 10:01 PM",web,FOX,endpoint_security__edr___linux,medium,on-prem,endpointsecurityedr,
5351, FOX - Linux - Possible Data Transferred,SRC - L1,Anna bansal,closed,normal,"Dec 17, 2023, 09:33 PM","Dec 20, 2023, 10:01 PM",web,FOX,endpoint_security__edr___linux,high,on-prem,endpointsecurityedr,
5350,AAA - GCP Firewall - GCP compute firewall rule was deleted,SRC - L1,Nir Handa,closed,normal,"Dec 17, 2023, 09:26 PM","Dec 20, 2023, 11:01 PM",web,AAA,firewalls_and_security_groups__gcp_-_firewall,medium,aws_platform,cloud_provider_/_service,
5349,AAA - GCP Security Command Center - Critical Severity Finding,SRC - L1,Nir Handa,closed,normal,"Dec 17, 2023, 08:20 PM","Dec 23, 2023, 01:02 AM",web,AAA,cloud_provider_/_service__gcp_-_security_command_center,high,gcp,cloud_provider_/_service,
5348,FOX - UpGuard - Medium Severity Risk Detected,SRC - L1,Gil Kamalakannan,closed,normal,"Dec 17, 2023, 04:10 PM","Dec 20, 2023, 10:01 PM",web,FOX,vulnerability_management__upguard,medium,on-prem,vulnerability_management,
5347,Bosch - GuardDuty Low Severity Event,SRC - L1,Gil Kamalakannan,pending,high,"Dec 17, 2023, 10:58 AM","Dec 20, 2023, 09:26 PM",web,Bosch,cloud_provider_/_service__aws_guardduty,low,aws_platform,cloud_provider_/_service,
5346,FOX - Linux - Privilege Escalated,SRC - L1,Gil Kamalakannan,closed,normal,"Dec 17, 2023, 10:31 AM","Dec 20, 2023, 10:01 PM",web,FOX,endpoint_security__edr___linux,medium,on-prem,endpointsecurityedr,
5345,ZScaler - custom dashboard,DevOps,,open,normal,"Dec 17, 2023, 06:56 AM","Dec 25, 2023, 12:28 AM",web,Apple Data Analyst,,,,,
5344,Onelogin - custom dashboard,DevOps,,open,normal,"Dec 17, 2023, 06:55 AM","Dec 25, 2023, 12:28 AM",web,Apple Data Analyst,,,,,
5343,NGINX - custom dashboard,DevOps,,open,normal,"Dec 17, 2023, 06:54 AM","Dec 25, 2023, 12:29 AM",web,Apple Data Analyst,,,,,
5342,UpGuard - Custom dashboard ,DevOps,,open,normal,"Dec 17, 2023, 06:53 AM","Dec 25, 2023, 12:28 AM",web,Apple Data Analyst,,,,,
5341,Custom Dashboard,DevOps,,open,normal,"Dec 17, 2023, 06:51 AM","Dec 25, 2023, 12:28 AM",web,Apple Data Analyst,,,,,
5340,Bosch : Okta - Admin privilege granted,SRC - L1,Danna Sival,closed,high,"Dec 17, 2023, 06:05 AM","Dec 20, 2023, 10:03 AM",web,Bosch,identity_and_access_management__okta,high,aws_platform,identity_and_access_management,
5339,Bosch - CrowdStrike - Low and Informational severity alert,SRC - L1,Ella Gahlot,closed,normal,"Dec 17, 2023, 12:14 AM","Dec 23, 2023, 10:01 PM",web,Bosch,endpoint_security__edr___crowdstrike,low,on-prem,endpointsecurityedr,
5338,Castro - AWS EC2 - Image attribute was modified,SRC - L1,Anna bansal,pending,high,"Dec 16, 2023, 09:43 PM","Dec 22, 2023, 06:43 PM",web,Castro,identity_and_access_management__aws_iam,high,aws_platform,identity_and_access_management,2023-12-22T17:13:58Z
5337,Bosch - GuardDuty Medium Severity Event,SRC - L1,Ella Gahlot,pending,high,"Dec 16, 2023, 09:34 PM","Dec 20, 2023, 09:24 PM",web,Bosch,cloud_provider_/_service__aws_guardduty,medium,aws_platform,cloud_provider_/_service,
5336,Ford - Orca - High Risk Alert,SRC - L1,Ella Gahlot,closed,normal,"Dec 16, 2023, 09:02 PM","Dec 23, 2023, 01:02 AM",web,Ford,generic_/_other__temp,high,on-prem,generic_/_other,2023-12-20T08:59:12Z
5335,Bosch - GuardDuty critical event,SRC - L1,Omer Lakhmani,closed,high,"Dec 16, 2023, 04:25 PM","Dec 20, 2023, 10:01 PM",web,Bosch,cloud_provider_/_service__aws_guardduty,critical,aws_platform,cloud_provider_/_service,
5334,Bosch -  GuardDuty warning event,SRC - L1,Omer Lakhmani,open,high,"Dec 16, 2023, 11:13 AM","Dec 26, 2023, 12:39 AM",web,Bosch,cloud_provider_/_service__aws_guardduty,medium,aws_platform,cloud_provider_/_service,
5333,Infinity - Amazon S3 - Bucket Lifecycle policy has been created/modified,SRC - L1,Nir Handa,closed,normal,"Dec 16, 2023, 03:53 AM","Dec 19, 2023, 07:01 PM",web,Infinity,cloud_provider_/_service__amazon_s3,medium,aws_platform,cloud_provider_/_service,2023-12-17T02:45:07Z
5332,FOX - UpGuard - Medium Severity Risk Detected,SRC - L1,Nir Handa,closed,normal,"Dec 16, 2023, 02:35 AM","Dec 19, 2023, 03:04 AM",web,FOX,vulnerability_management__upguard,medium,on-prem,vulnerability_management,
5331,"FOX - Azure Storage accounts - A storage account was created, modified or restored",SRC - L1,Nir Handa,closed,normal,"Dec 16, 2023, 12:08 AM","Dec 19, 2023, 01:02 AM",web,FOX,azure__azure_storage_accounts,medium,azure,cloud_provider_/_service,
5330,NISSAN - Amazon S3 Server Access - Excessive Objects Deleted by a Source,SRC - L1,Gil Kamalakannan,closed,high,"Dec 15, 2023, 10:38 PM","Dec 23, 2023, 02:01 PM",web,NISSAN,cloud_provider_/_service__amazon_s3,medium,aws_platform,cloud_provider_/_service,2023-12-19T13:57:26Z
5329,Bosch - AWS ELB - A Load Balancer has been deleted,SRC - L1,Anna bansal,pending,high,"Dec 15, 2023, 10:27 PM","Dec 21, 2023, 02:55 AM",web,Bosch,aws__aws_elb,high,aws_platform,cloud_provider_/_service,
5328,Ford - Orca - Medium Risk Alert,SRC - L1,Anna bansal,closed,normal,"Dec 15, 2023, 10:12 PM","Dec 23, 2023, 01:02 AM",web,Ford,generic_/_other__temp,medium,on-prem,vulnerability_management,2023-12-20T08:58:53Z
5327,Honda - SentinelOne - High Severity Alert,SRC - L1,Omer Lakhmani,closed,normal,"Dec 15, 2023, 02:41 PM","Dec 21, 2023, 01:03 AM",web,Honda,generic_/_other__temp,high,on-prem,endpointsecurityedr,2023-12-18T07:13:56Z
5326,AAA - GCP Security Command Center - Critical Severity Finding,SRC - L1,Omer Lakhmani,solved,normal,"Dec 15, 2023, 01:06 PM","Dec 26, 2023, 12:28 AM",web,AAA,cloud_provider_/_service__gcp_-_security_command_center,high,gcp,cloud_provider_/_service,
5325,Bosch - GuardDuty Medium Severity Event,SRC - L1,Omer Lakhmani,closed,high,"Dec 15, 2023, 10:52 AM","Dec 24, 2023, 01:02 AM",web,Bosch,cloud_provider_/_service__aws_guardduty,medium,aws_platform,cloud_provider_/_service,
5324,Toyota - Microsoft Windows - A user has been locked out,SRC - L1,Ella Gahlot,closed,high,"Dec 15, 2023, 09:04 AM","Dec 23, 2023, 09:01 PM",web,Toyota,endpoint_security__edr___microsoft_windows_cmd/powershell,medium,on-prem,generic_/_other,2023-12-21T04:57:42Z
5323,Volvo : AWS IAM - A user was granted programmatic access,SRC - L1,Anna bansal,pending,high,"Dec 15, 2023, 02:20 AM","Dec 20, 2023, 09:21 PM",web,Volvo,identity_and_access_management__aws_iam,high,aws_platform,identity_and_access_management,
5322,Update Extension -- Amazon S3 Server Access,DevOps,,open,normal,"Dec 15, 2023, 12:56 AM","Dec 20, 2023, 04:44 AM",web,Microsoft Research,,,,,
5321,JungleeGames - GuardDuty - High or Critical Severity Event,SRC - L1,Nir Handa,pending,high,"Dec 15, 2023, 12:15 AM","Dec 20, 2023, 09:21 PM",web,Jeep,cloud_provider_/_service__aws_guardduty,high,aws_platform,cloud_provider_/_service,
5320,Infinity - AWS CloudTrail - Root Account Activity Detected,SRC - L1,Shir Mehra,closed,high,"Dec 14, 2023, 10:20 PM","Dec 18, 2023, 01:04 AM",web,Infinity,cloud_provider_/_service__aws_cloudtrail,high,aws_platform,cloud_provider_/_service,2023-12-15T08:56:41Z
5319,Ford - Orca - Medium Risk Alert,SRC - L1,Nir Handa,closed,normal,"Dec 14, 2023, 10:08 PM","Dec 18, 2023, 01:04 AM",web,Ford,generic_/_other__temp,medium,on-prem,cloud_provider_/_service,2023-12-15T08:16:49Z
